PL/SQL;80
JAVA;70
JPA/HIBERNATE;60
Javascript;65
HTML;70
PHP;65
Docker;50
Linux;70
Integration Services;80
Analisys Services;80
Pentaho PDI;70
Power Bi;75
Python;60
Sklearn;75
Python Pandas;75
Keras TensorFlow;65
Hadoop;65
MapRecude;65
PySpark;65
Hive;65
Hbase;65
Pig;65
Sqoop;65
Kafka;65
